ingredients,dish,description,steps
"rice noodles, chicken, cabbage, carrots","Pancit Bihon","Thin rice noodles stir-fried with vegetables and meat.","Stir fry noodles with chicken and vegetables."
"thick noodles, shrimp sauce, seafood","Pancit Malabon","Seafood noodle dish with rich shrimp sauce.","Cook noodles and top with seafood sauce."
"rice noodles, shrimp sauce, egg, chicharon","Pancit Palabok","Rice noodles topped with savory shrimp sauce.","Pour shrimp sauce over noodles and add toppings."
"rice flour, sugar, baking powder","Puto","Soft steamed Filipino rice cakes.","Steam rice batter until fluffy."
"rice flour, coconut milk, egg, cheese","Bibingka","A baked rice cake with coconut flavor.","Bake rice cake with coconut milk and toppings."
"glutinous rice flour, coconut milk, sugar","Sapin-Sapin","A colorful layered sticky rice dessert.","Steam layered rice cake."
"flour, brown sugar, lye water","Kutsinta","A chewy brown rice cake topped with coconut.","Steam sticky brown rice cake."
"banana, jackfruit, sugar, lumpia wrapper","Turon","Sweet fried banana spring rolls.","Wrap banana in wrapper and fry with sugar coating."
"banana, brown sugar, oil","Banana Cue","Caramelized fried bananas on skewers.","Fry bananas coated in caramelized sugar."
"shrimp, flour, egg, breadcrumbs","Camaron Rebosado","Crispy battered shrimp fritters.","Coat shrimp and deep fry."
"shrimp, squash, flour","Ukoy","Crunchy shrimp and vegetable fritters.","Mix ingredients and fry into fritters."
"tofu, pork, soy sauce, vinegar","Tokwa't Baboy","Fried tofu and pork with vinegar dipping sauce.","Serve fried tofu and pork with dipping sauce."
"ground pork, raisins, egg, carrots","Embutido","A steamed Filipino-style meatloaf.","Roll pork mixture and steam."
"beef, sausage, egg, carrots","Morcon","Stuffed beef roll simmered in sauce.","Stuff beef roll and braise."
